day	hour	qqq	value
10	1		0
10	2	Mikkel Diskerud;Nacer Chadli	20
10	3	Fred;Jackson Martinez;Jorge Valdivia;Michel Vorm	40
10	4	Michael Barrantes	10
10	5	Kevin Mirallas	10
10	6	Hotaru Yamaguchi;Kim Bo-kyung	20
10	7	Diego Costa;Javad Nekounam;Madjid Bougherra;Sebastian Coates	40
10	8	Felipe Gutierrez;Sejad Salihovi?	20
10	9	Djamel Mesbah	10
10	10	Ahmad Alenemeh;Ezequiel Garay;Xherdan Shaqiri	30
10	11	Jean-Daniel Akpa-Akpro;Omar Gonzalez	20
10	12	Christian Stuani;Giannis Maniatis;Shola Ameobi	30
10	13		0
10	14	Ahmed Musa;Henrique	20
10	15	Mesut Ozil	10
10	16	Marcelo Brozovi?;Rony Martinez	20
10	17	Constant Djakpa;Kenneth Omeruo	20
10	18	Daniel Opare;Dante;Efe Ambrose	30
10	19		0
10	20	Francisco Javier Rodriguez;Luis Saritama;Mattia De Sciglio	30
10	21		0
10	22	Aissa Mandi	10
10	23		0
10	24	Anthony Vanden Borre;Cristian Gamboa;Ognjen Vranje?;Wayne Rooney	40
10	25	Esteban Granados;Roger Espinoza	20
10	26	Juan Pablo Montes	10
10	27	Danijel Suba?i?	10
10	28		0
10	29	Sylvain Gbohouo;Alvaro Gonzalez	20
10	30		0
10	31		0
11	1	Jerry Palacios	10
11	2	Charles Itandje;Diego Lugano;Pablo Armero	30
11	3	Jermaine Jones;Marvin Chavez	20
11	4		0
11	5	Luis Garrido;Marco Verratti	20
11	6	Andre Schurrle;Jozy Altidore	20
11	7	David de Gea;Serey Die	20
11	8	Brad Davis;Morgan Schneiderlin	20
11	9		0
11	10	Aron Johannsson;Mattia Perin	20
11	11	Georginio Wijnaldum;Philipp Lahm	20
11	12	Benjamin Moukandjo;Hiroshi Kiyotake;Ignazio Abate	30
11	13	Nigel de Jong	10
11	14	Mathis Bolly;Roman Burki;Thomas Vermaelen	30
11	15		0
11	16	Aleksei Kozlov	10
11	17	Nani	10
11	18		0
11	19	Jorge Fucile	10
11	20	Edder Delgado;Eduardo Vargas	20
11	21		0
11	22	Asamoah Gyan;Chris Smalling;Marouane Fellaini	30
11	23		0
11	24	Jeremain Lens;Mario Gavranovi?;Nabil Bentaleb;Roy Miller	40
11	25	El Arbi Hillel Soudani;Xabi Alonso	20
11	26	Danny Welbeck;Giorgos Tzavellas	20
11	27	Aleksandr Kerzhakov;Bruno Alves	20
