day	hour	qqq	value
11	26	Danny Welbeck (England), Giorgos Tzavellas (Greece)	4
11	27	Aleksandr Kerzhakov (Russia), Bruno Alves (Portugal)	4
11	28	Brayan Beckeles (Honduras), Chigozie Agbim (Nigeria), Landry N'Guemo (Cameroon), Alvaro Pereira (Uruguay)	8
11	29	none	0
11	30	Max Gradel (Ivory Coast), Miiko Albornoz (Chile)	4
12	1	Daniel Cambronero (Costa Rica)	2
12	2	Danijel Pranji? (Croatia), Emmanuel Agyemang-Badu (Ghana), Gaston Ramirez (Uruguay), Matteo Darmian (Italy)	8
12	3	David Villa (Spain), Michael Essien (Ghana)	4
12	4	none	0
12	5	Ross Barkley (England)	2
12	6	Tim Cahill (Australia)	2
12	7	none	0
12	8	Raheem Sterling (England)	2
12	9	Kwadwo Asamoah (Ghana)	2
12	10	Gonzalo Higuain (Argentina), Tommy Oar (Australia), Wilfried Bony (Ivory Coast), Oscar Bagui (Ecuador)	8
12	11	Fabian Johnson (United States), Leighton Baines (England)	4
12	12	Adam Kwarasey (Ghana), Ramon Azeez (Nigeria), Victor Moses (Nigeria)	6
12	13	Albert Adomah (Ghana), Santi Cazorla (Spain)	4
12	14	Didier Zokora (Ivory Coast), Juan Camilo Zuniga (Colombia)	4
12	15	Keylor Navas (Costa Rica), Toni ?unji? (Bosnia and Herzegovina)	4
12	16	Mats Hummels (Germany), Maximo Banguera (Ecuador)	4
12	17	Andre Ayew (Ghana), Yann Sommer (Switzerland)	4
12	18	Rashid Sumaila (Ghana)	2
12	19	Alexis Sanchez (Chile), Gary Cahill (England), Karim Benzema (France), Lazaros Christodoulopoulos (Greece)	8
12	20	Fabian Schar (Switzerland), Martin Demichelis (Argentina), Ognjen Vukojevi? (Croatia)	6
12	21	Giannis Fetfatzidis (Greece), Ousmane Viera (Ivory Coast)	4
12	22	Eder (Portugal)	2
12	23	none	0
12	24	Lee Yong (South Korea), Michael Babatunde (Nigeria), Serge Aurier (Ivory Coast)	6
12	25	Ogenyi Onazi (Nigeria)	2
12	26	Hugo Lloris (France), Sofiane Feghouli (Algeria)	4
12	27	none	0
12	28	none	0
12	29	none	0
12	30	Boubacar Barry (Ivory Coast), Marcelo Diaz (Chile)	4
12	31	Mohammed Rabiu (Ghana)	2
